iteration: 770, loss: 0.0062, scmap loss: 0.0056, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 780, loss: 0.0069, scmap loss: 0.0062, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 790, loss: 0.0064, scmap loss: 0.0056, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 800, loss: 0.0068, scmap loss: 0.0060, locref loss: 0.0002, limb loss: 0.0006, lr: 0.0001
iteration: 810, loss: 0.0057, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 820, loss: 0.0074, scmap loss: 0.0066, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 830, loss: 0.0085, scmap loss: 0.0077, locref loss: 0.0003, limb loss: 0.0005, lr: 0.0001
iteration: 840, loss: 0.0075, scmap loss: 0.0068, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 850, loss: 0.0066, scmap loss: 0.0059, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 860, loss: 0.0062, scmap loss: 0.0054, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 870, loss: 0.0062, scmap loss: 0.0054, locref loss: 0.0002, limb loss: 0.0006, lr: 0.0001
iteration: 880, loss: 0.0069, scmap loss: 0.0059, locref loss: 0.0003, limb loss: 0.0007, lr: 0.0001
iteration: 890, loss: 0.0070, scmap loss: 0.0059, locref loss: 0.0003, limb loss: 0.0008, lr: 0.0001
iteration: 900, loss: 0.0072, scmap loss: 0.0063, locref loss: 0.0003, limb loss: 0.0007, lr: 0.0001
iteration: 910, loss: 0.0061, scmap loss: 0.0053, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 920, loss: 0.0077, scmap loss: 0.0067, locref loss: 0.0003, limb loss: 0.0007, lr: 0.0001
iteration: 930, loss: 0.0073, scmap loss: 0.0065, locref loss: 0.0002, limb loss: 0.0006, lr: 0.0001
iteration: 940, loss: 0.0076, scmap loss: 0.0068, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 950, loss: 0.0069, scmap loss: 0.0062, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 960, loss: 0.0064, scmap loss: 0.0056, locref loss: 0.0002, limb loss: 0.0006, lr: 0.0001
iteration: 970, loss: 0.0063, scmap loss: 0.0056, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 980, loss: 0.0059, scmap loss: 0.0052, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 990, loss: 0.0061, scmap loss: 0.0055, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1000, loss: 0.0056, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1010, loss: 0.0055, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1020, loss: 0.0057, scmap loss: 0.0050, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1030, loss: 0.0058, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1040, loss: 0.0068, scmap loss: 0.0060, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1050, loss: 0.0063, scmap loss: 0.0056, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1060, loss: 0.0066, scmap loss: 0.0058, locref loss: 0.0002, limb loss: 0.0006, lr: 0.0001
iteration: 1070, loss: 0.0064, scmap loss: 0.0057, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1080, loss: 0.0057, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1090, loss: 0.0061, scmap loss: 0.0055, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1100, loss: 0.0056, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1110, loss: 0.0058, scmap loss: 0.0052, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1120, loss: 0.0057, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1130, loss: 0.0053, scmap loss: 0.0046, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1140, loss: 0.0063, scmap loss: 0.0057, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1150, loss: 0.0074, scmap loss: 0.0066, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1160, loss: 0.0053, scmap loss: 0.0047, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1170, loss: 0.0061, scmap loss: 0.0054, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1180, loss: 0.0070, scmap loss: 0.0063, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1190, loss: 0.0067, scmap loss: 0.0060, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1200, loss: 0.0062, scmap loss: 0.0055, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1210, loss: 0.0063, scmap loss: 0.0057, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1220, loss: 0.0061, scmap loss: 0.0055, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1230, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1240, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1250, loss: 0.0057, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
